onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
32.8977272727;0.0852272727273;4;4;25;1;3;0.340909090909;"""4/4""";60;1;1;1;Bb7;I1
32.9829545455;0.0852272727273;4;4;25;1;4;0.340909090909;"""4/4""";58;1;0;1;Bb7;I1
33.0681818182;0.170454545455;4;2;25;2;1;0.340909090909;"""4/4""";57;1;0;1;Bb7;I1
33.2386363636;0.170454545455;4;2;25;2;2;0.340909090909;"""4/4""";58;1;0;1;Bb7;I1
33.4090909091;0.170454545455;4;2;25;3;1;0.340909090909;"""4/4""";60;1;0;1;Bb7;I1
33.5795454545;0.170454545455;4;2;25;3;2;0.340909090909;"""4/4""";58;1;0;1;Bb7;I1
33.75;0.170454545455;4;2;25;4;1;0.340909090909;"""4/4""";57;1;0;1;Bb7;I1
33.9204545455;0.170454545455;4;2;25;4;2;0.340909090909;"""4/4""";58;1;0;1;Bb7;I1
34.0909090909;0.170454545455;4;2;26;1;1;0.340909090909;"""4/4""";62;1;0;1;C-;I1
34.2613636364;0.170454545455;4;2;26;1;2;0.340909090909;"""4/4""";63;1;0;1;C-;I1
34.4318181818;0.170454545455;4;2;26;2;1;0.340909090909;"""4/4""";62;1;0;1;C-;I1
34.6022727273;0.170454545455;4;2;26;2;2;0.340909090909;"""4/4""";58;1;0;1;C-;I1
34.7727272727;0.170454545455;4;2;26;3;1;0.340909090909;"""4/4""";60;1;0;1;F7;I1
34.9431818182;0.170454545455;4;2;26;3;2;0.340909090909;"""4/4""";57;1;0;1;F7;I1
35.1136363636;0.113636363636;4;3;26;4;1;0.340909090909;"""4/4""";58;1;0;1;F7;I1
35.2272727273;0.113636363636;4;3;26;4;2;0.340909090909;"""4/4""";62;1;0;1;F7;I1
35.3409090909;0.113636363636;4;3;26;4;3;0.340909090909;"""4/4""";65;1;0;1;F7;I1
35.4545454545;0.0852272727273;4;4;27;1;1;0.340909090909;"""4/4""";69;1;0;1;Bb7;I1
35.5397727273;0.0852272727273;4;4;27;1;2;0.340909090909;"""4/4""";70;1;0;1;Bb7;I1
35.625;0.170454545455;4;4;27;1;3;0.340909090909;"""4/4""";65;1;0;1;Bb7;I1
37.1590909091;0.0852272727273;4;4;28;2;1;0.340909090909;"""4/4""";69;2;1;1;C-;I1
37.2443181818;0.0852272727273;4;4;28;2;2;0.340909090909;"""4/4""";67;2;0;1;C-;I1
37.3295454545;0.0852272727273;4;4;28;2;3;0.340909090909;"""4/4""";66;2;0;1;C-;I1
37.4147727273;0.0852272727273;4;4;28;2;4;0.340909090909;"""4/4""";67;2;0;1;C-;I1
37.5;0.0852272727273;4;4;28;3;1;0.340909090909;"""4/4""";70;2;0;1;F7;I1
37.5852272727;0.0852272727273;4;4;28;3;2;0.340909090909;"""4/4""";67;2;0;1;F7;I1
37.6704545455;0.0852272727273;4;4;28;3;3;0.340909090909;"""4/4""";63;2;0;1;F7;I1
37.7556818182;0.0852272727273;4;4;28;3;4;0.340909090909;"""4/4""";62;2;0;1;F7;I1
37.8409090909;0.0852272727273;4;4;28;4;1;0.340909090909;"""4/4""";60;2;0;1;F7;I1
37.9261363636;0.0852272727273;4;4;28;4;2;0.340909090909;"""4/4""";58;2;0;1;F7;I1
38.0113636364;0.0852272727273;4;4;28;4;3;0.340909090909;"""4/4""";57;2;0;1;F7;I1
38.0965909091;0.0852272727273;4;4;28;4;4;0.340909090909;"""4/4""";58;2;0;1;F7;I1
38.1818181818;0.0852272727273;4;4;29;1;1;0.340909090909;"""4/4""";63;2;0;1;F-;I1
38.2670454545;0.0852272727273;4;4;29;1;2;0.340909090909;"""4/4""";67;2;0;1;F-;I1
38.3522727273;0.0852272727273;4;4;29;1;3;0.340909090909;"""4/4""";63;2;0;1;F-;I1
38.4375;0.0852272727273;4;4;29;1;4;0.340909090909;"""4/4""";60;2;0;1;F-;I1
38.5227272727;0.340909090909;4;1;29;2;1;0.340909090909;"""4/4""";65;2;0;1;F-;I1
39.0340909091;0.0852272727273;4;4;29;3;3;0.340909090909;"""4/4""";68;2;0;1;Bb7;I1
39.1193181818;0.0852272727273;4;4;29;3;4;0.340909090909;"""4/4""";67;2;0;1;Bb7;I1
39.2045454545;0.0852272727273;4;4;29;4;1;0.340909090909;"""4/4""";65;2;0;1;Bb7;I1
39.2897727273;0.0852272727273;4;4;29;4;2;0.340909090909;"""4/4""";63;2;0;1;Bb7;I1
39.375;0.0852272727273;4;4;29;4;3;0.340909090909;"""4/4""";62;2;0;1;Bb7;I1
39.4602272727;0.0852272727273;4;4;29;4;4;0.340909090909;"""4/4""";60;2;0;1;Bb7;I1
39.5454545455;0.0852272727273;4;4;30;1;1;0.340909090909;"""4/4""";58;2;0;1;Eb7;I1
39.6306818182;0.0852272727273;4;4;30;1;2;0.340909090909;"""4/4""";57;2;0;1;Eb7;I1
39.7159090909;0.0852272727273;4;4;30;1;3;0.340909090909;"""4/4""";56;2;0;1;Eb7;I1
39.8011363636;0.0852272727273;4;4;30;1;4;0.340909090909;"""4/4""";60;2;0;1;Eb7;I1
39.8863636364;0.340909090909;4;1;30;2;1;0.340909090909;"""4/4""";55;2;0;1;Eb7;I1
40.3977272727;0.0852272727273;4;4;30;3;3;0.340909090909;"""4/4""";74;3;1;1;Eb7;I1
40.4829545455;0.0852272727273;4;4;30;3;4;0.340909090909;"""4/4""";72;3;0;1;Eb7;I1
40.5681818182;0.0852272727273;4;4;30;4;1;0.340909090909;"""4/4""";70;3;0;1;Eb7;I1
40.6534090909;0.0852272727273;4;4;30;4;2;0.340909090909;"""4/4""";66;3;0;1;Eb7;I1
40.7386363636;0.0852272727273;4;4;30;4;3;0.340909090909;"""4/4""";63;3;0;1;Eb7;I1
40.8238636364;0.0852272727273;4;4;30;4;4;0.340909090909;"""4/4""";60;3;0;1;Eb7;I1
40.9090909091;0.340909090909;4;1;31;1;1;0.340909090909;"""4/4""";62;3;0;1;D-;I1
41.4204545455;0.0852272727273;4;4;31;2;3;0.340909090909;"""4/4""";57;3;0;1;D-;I1
41.5056818182;0.0852272727273;4;4;31;2;4;0.340909090909;"""4/4""";58;3;0;1;D-;I1
41.5909090909;0.0852272727273;4;4;31;3;1;0.340909090909;"""4/4""";60;3;0;1;G7;I1
41.6761363636;0.0852272727273;4;4;31;3;2;0.340909090909;"""4/4""";58;3;0;1;G7;I1
41.7613636364;0.0852272727273;4;4;31;3;3;0.340909090909;"""4/4""";57;3;0;1;G7;I1
41.8465909091;0.0852272727273;4;4;31;3;4;0.340909090909;"""4/4""";58;3;0;1;G7;I1
41.9318181818;0.0852272727273;4;4;31;4;1;0.340909090909;"""4/4""";62;3;0;1;G7;I1
42.0170454545;0.0852272727273;4;4;31;4;2;0.340909090909;"""4/4""";65;3;0;1;G7;I1
42.1022727273;0.0852272727273;4;4;31;4;3;0.340909090909;"""4/4""";67;3;0;1;G7;I1
42.1875;0.0852272727273;4;4;31;4;4;0.340909090909;"""4/4""";69;3;0;1;G7;I1
42.2727272727;0.0852272727273;4;4;32;1;1;0.340909090909;"""4/4""";72;3;0;1;C-;I1
42.3579545455;0.0852272727273;4;4;32;1;2;0.340909090909;"""4/4""";69;3;0;1;C-;I1
42.4431818182;0.0852272727273;4;4;32;1;3;0.340909090909;"""4/4""";70;3;0;1;C-;I1
42.5284090909;0.0852272727273;4;4;32;1;4;0.340909090909;"""4/4""";72;3;0;1;C-;I1
42.6136363636;0.0852272727273;4;4;32;2;1;0.340909090909;"""4/4""";74;3;0;1;C-;I1
42.6988636364;0.0852272727273;4;4;32;2;2;0.340909090909;"""4/4""";77;3;0;1;C-;I1
43.8068181818;0.170454545455;4;2;33;1;2;0.340909090909;"""4/4""";66;4;1;1;Bb7;A1
