onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
15.45;0.05;4;6;13;4;4;0.3;"""4/4""";76;1;1;1;G7;I1
15.5;0.05;4;6;13;4;5;0.3;"""4/4""";74;1;0;1;G7;I1
15.55;0.05;4;6;13;4;6;0.3;"""4/4""";72;1;0;1;G7;I1
15.6;0.15;4;2;14;1;1;0.3;"""4/4""";71;1;0;1;C7;I1
15.75;0.15;4;2;14;1;2;0.3;"""4/4""";69;1;0;1;C7;I1
15.9;0.15;4;2;14;2;1;0.3;"""4/4""";67;1;0;1;C7;I1
16.05;0.15;4;2;14;2;2;0.3;"""4/4""";65;1;0;1;C7;I1
16.2;0.15;4;2;14;3;1;0.3;"""4/4""";64;1;0;1;C7;I1
16.35;0.15;4;2;14;3;2;0.3;"""4/4""";55;1;0;1;C7;I1
16.5;0.15;4;2;14;4;1;0.3;"""4/4""";59;1;0;1;C7;I1
16.65;0.15;4;2;14;4;2;0.3;"""4/4""";62;1;0;1;C7;I1
16.8;0.15;4;2;15;1;1;0.3;"""4/4""";60;1;0;1;F7;A1
16.95;0.15;4;2;15;1;2;0.3;"""4/4""";58;1;0;1;F7;A1
17.1;0.075;4;4;15;2;1;0.3;"""4/4""";57;1;0;1;F7;A1
17.175;0.075;4;4;15;2;2;0.3;"""4/4""";60;1;0;1;F7;A1
17.25;0.075;4;4;15;2;3;0.3;"""4/4""";63;1;0;1;F7;A1
17.325;0.075;4;4;15;2;4;0.3;"""4/4""";67;1;0;1;F7;A1
17.4;0.15;4;2;15;3;1;0.3;"""4/4""";65;1;0;1;F7;A1
17.55;0.15;4;2;15;3;2;0.3;"""4/4""";63;1;0;1;F7;A1
17.7;0.15;4;2;15;4;1;0.3;"""4/4""";56;1;0;1;F7;A1
17.85;0.15;4;2;15;4;2;0.3;"""4/4""";54;1;0;1;F7;A1
18.0;0.15;4;2;16;1;1;0.3;"""4/4""";55;1;0;1;C7;A1
18.15;0.15;4;2;16;1;2;0.3;"""4/4""";65;1;0;1;C7;A1
18.3;0.15;4;2;16;2;1;0.3;"""4/4""";62;1;0;1;C7;A1
18.45;0.15;4;2;16;2;2;0.3;"""4/4""";63;1;0;1;C7;A1
18.6;0.15;4;2;16;3;1;0.3;"""4/4""";64;1;0;1;C7;A1
18.75;0.15;4;2;16;3;2;0.3;"""4/4""";58;1;0;1;C7;A1
20.25;0.05;4;6;17;4;4;0.3;"""4/4""";72;2;1;1;C7;A1
