onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
0.254237288136;0.127118644068;4;2;1;2;1;0.254237288136;"""4/4""";67;1;1;1;F7;I1
0.381355932203;0.127118644068;4;2;1;2;2;0.254237288136;"""4/4""";66;1;0;1;F7;I1
0.508474576271;0.127118644068;4;2;1;3;1;0.254237288136;"""4/4""";65;1;0;1;F7;I1
0.635593220339;0.127118644068;4;2;1;3;2;0.254237288136;"""4/4""";64;1;0;1;F7;I1
0.762711864407;0.127118644068;4;2;1;4;1;0.254237288136;"""4/4""";63;1;0;1;F7;I1
0.889830508475;0.127118644068;4;2;1;4;2;0.254237288136;"""4/4""";57;1;0;1;F7;I1
1.01694915254;0.127118644068;4;2;2;1;1;0.254237288136;"""4/4""";58;1;0;1;Bb;I1
1.14406779661;0.127118644068;4;2;2;1;2;0.254237288136;"""4/4""";61;1;0;1;Bb;I1
1.27118644068;0.127118644068;4;2;2;2;1;0.254237288136;"""4/4""";60;1;0;1;Bb;I1
1.39830508475;0.127118644068;4;2;2;2;2;0.254237288136;"""4/4""";58;1;0;1;Bb;I1
1.52542372881;0.127118644068;4;2;2;3;1;0.254237288136;"""4/4""";57;1;0;1;Bb;I1
1.65254237288;0.127118644068;4;2;2;3;2;0.254237288136;"""4/4""";66;1;0;1;Bb;I1
1.77966101695;0.127118644068;4;2;2;4;1;0.254237288136;"""4/4""";63;1;0;1;Bb;I1
1.90677966102;0.127118644068;4;2;2;4;2;0.254237288136;"""4/4""";64;1;0;1;Bb;I1
2.03389830508;0.127118644068;4;2;3;1;1;0.254237288136;"""4/4""";65;1;0;1;Bb;A1
2.16101694915;0.127118644068;4;2;3;1;2;0.254237288136;"""4/4""";62;1;0;1;Bb;A1
2.28813559322;0.0847457627119;4;3;3;2;1;0.254237288136;"""4/4""";58;1;0;1;Bb;A1
2.37288135593;0.0847457627119;4;3;3;2;2;0.254237288136;"""4/4""";55;1;0;1;Bb;A1
2.45762711864;0.0847457627119;4;3;3;2;3;0.254237288136;"""4/4""";51;1;0;1;Bb;A1
2.54237288136;0.127118644068;4;2;3;3;1;0.254237288136;"""4/4""";61;1;0;1;Bb;A1
2.66949152542;0.127118644068;4;2;3;3;2;0.254237288136;"""4/4""";62;1;0;1;Bb;A1
2.79661016949;0.127118644068;4;2;3;4;1;0.254237288136;"""4/4""";63;1;0;1;Bb;A1
2.92372881356;0.127118644068;4;2;3;4;2;0.254237288136;"""4/4""";64;1;0;1;Bb;A1
3.05084745763;0.127118644068;4;2;4;1;1;0.254237288136;"""4/4""";65;1;0;1;F-;A1
3.17796610169;0.127118644068;4;2;4;1;2;0.254237288136;"""4/4""";62;1;0;1;F-;A1
3.30508474576;0.127118644068;4;2;4;2;1;0.254237288136;"""4/4""";58;1;0;1;F-;A1
3.43220338983;0.127118644068;4;2;4;2;2;0.254237288136;"""4/4""";57;1;0;1;F-;A1
3.5593220339;0.254237288136;4;1;4;3;1;0.254237288136;"""4/4""";56;1;0;1;F-;A1
4.95762711864;0.127118644068;4;2;5;4;2;0.254237288136;"""4/4""";73;2;1;1;Bb7;A1
5.21186440678;0.254237288136;4;2;6;1;2;0.254237288136;"""4/4""";70;2;0;1;Eb;A1
5.46610169492;0.127118644068;4;2;6;2;2;0.254237288136;"""4/4""";72;2;0;1;Eb;A1
5.59322033898;0.127118644068;4;2;6;3;1;0.254237288136;"""4/4""";70;2;0;1;Eb;A1
5.72033898305;0.127118644068;4;2;6;3;2;0.254237288136;"""4/4""";68;2;0;1;Eb;A1
5.84745762712;0.127118644068;4;2;6;4;1;0.254237288136;"""4/4""";67;2;0;1;Eb;A1
5.97457627119;0.127118644068;4;2;6;4;2;0.254237288136;"""4/4""";65;2;0;1;Eb;A1
6.14406779661;0.0423728813559;4;6;7;1;2;0.254237288136;"""4/4""";67;2;0;1;Eb;A1
6.18644067797;0.0423728813559;4;6;7;1;3;0.254237288136;"""4/4""";65;2;0;1;Eb;A1
6.22881355932;0.127118644068;4;6;7;1;4;0.254237288136;"""4/4""";62;2;0;1;Eb;A1
6.35593220339;0.0423728813559;4;6;7;2;1;0.254237288136;"""4/4""";63;2;0;1;Eb;A1
6.39830508475;0.0423728813559;4;6;7;2;2;0.254237288136;"""4/4""";65;2;0;1;Eb;A1
6.4406779661;0.0423728813559;4;6;7;2;3;0.254237288136;"""4/4""";67;2;0;1;Eb;A1
6.48305084746;0.0423728813559;4;6;7;2;4;0.254237288136;"""4/4""";70;2;0;1;Eb;A1
6.52542372881;0.0423728813559;4;6;7;2;5;0.254237288136;"""4/4""";72;2;0;1;Eb;A1
6.56779661017;0.0423728813559;4;6;7;2;6;0.254237288136;"""4/4""";74;2;0;1;Eb;A1
6.61016949153;0.127118644068;4;2;7;3;1;0.254237288136;"""4/4""";77;2;0;1;Eb;A1
